1434, 582
-387, 1408
-1392, -181
50, -1385
1506, -338
619, 1273
-1177, 1116
-1237, -615
327, -1453
1503, -301
866, 1201
-796, 1353
-1518, 21
-586, -1276
1088, -1040
1366, 511
-204, 1456
-1509, 318
-621, -1244
1246, -853
1017, 1020
-937, 1160
-1274, -640
594, -1262
1430, 320
-164, 1440
-1504, 141
-196, -1383
1377, -440
447, 1362
-1224, 810
-812, -1013
1035, -1053
1217, 785
-708, 1335
-1364, -364
346, -1355
1470, 117
74, 1542
-1540, 362
-398, -1356
1328, -711
824, 1161
-1176, 1103
-1239, -715
725, -1427
1506, 83
275, 1435
-1433, 809
-1201, -783
365, -1433
1529, -411
1045, 1115
-610, 1377
-1442, -24
-299, -1299
1211, -815
1182, 767
-660, 1295
-1403, -277
236, -1379
1485, -165
170, 1473
-1315, 641
-627, -1184
1138, -920
1305, 743
-354, 1418
-1521, 214
-685, -1229
889, -1161
1608, 149
439, 1381
-1091, 955
-1350, -498
30, -1455
1351, -728
1203, 742
-205, 1437
-1540, 498
-1020, -940
549, -1342
1553, -181
733, 1281
-887, 1225
-1385, -258
-36, -1393
1523, -522
711, 1096
-1105, 1015
-1251, -814
848, -1252
1346, 438
-383, 1333
-1503, 78
-350, -1316
1379, -680
1106, 969
-724, 1298
-1624, 26
-557, -1208
958, -1143
1483, 265
299, 1411
-1202, 990
-1309, -584
-9, -1438
1335, -714
1328, 821
-272, 1358
-1483, 433
-997, -1130
652, -1328
1531, -119
720, 1227
-881, 1275
-1611, -141
-393, -1381
1146, -1077
1333, 499
113, 1478
-1376, 795
-1264, -725
239, -1384
1535, -419
835, 1185
-890, 1205
-1398, -409
147, -1380
1524, -192
279, 1374
-1399, 611
-641, -1129
1175, -798
1061, 937
-920, 1167
-1364, -577
591, -1365
1457, 320
-163, 1391
-1444, 117
-158, -1346
1465, -502
587, 1309
-1301, 874
-923, -1055
1002, -984
1268, 771
-634, 1349
-1360, -348
268, -1429
1548, -20
161, 1410
-1439, 457
-562, -1215
1375, -755
