901, -728
423, -64
22, 332
-25, 204
-42, 86
-404, 8
-621, -92
-521, -182
-292, -246
-149, 121
-122, 176
-94, -24
-165, 155
40, -6
218, -64
335, 91
290, 29
-21, -52
-142, -281
-219, -152
-167, 205
143, 81
224, -190
196, -364
-125, -297
-332, 161
-57, 45
-159, -422
-324, -461
-20, -338
86, -301
-45, 52
57, 203
327, -30
331, -226
175, -105
-1, 464
-234, 652
95, 398
191, 274
106, 113
88, -239
-29, -107
-273, 199
-293, 99
-353, 23
-304, -343
-138, -327
3, 111
-281, 36
-314, -214
330, -188
491, 5
197, 36
-33, 176
-7, 159
41, -58
14, -46
310, 306
538, 492
169, 170
-74, -270
-143, -276
-108, -188
-182, -148
-29, -168
77, -110
-30, 12
131, 9
97, 73
-260, -228
-114, -18
250, 298
75, 2
-45, 38
93, -16
146, -732
253, -473
205, 211
228, 212
652, -32
697, -238
80, -190
-477, -51
-719, 169
-518, -84
-381, -635
-90, -499
290, -137
424, -7
-234, 24
-868, -154
-477, -240
-198, -99
98, 48
534, -144
326, -115
102, 115
183, -25
-394, 39
-441, 62
80, -312
-15, -1065
-13, -514
-203, 348
-93, 500
137, 590
83, 221
-104, -204
-361, 59
-336, 312
183, -21
307, -272
147, -271
35, -179
-243, -256
-142, -234
82, 153
121, 173
352, -389
132, -1054
-175, -569
100, 12
255, -236
38, -369
9, -58
206, 96
291, 176
-94, 284
-369, 51
-204, -191
-188, 142
-301, 12
-289, -3
-110, 383
65, 359
398, 135
668, -228
325, -234
-403, -91
-800, 469
-194, 116
523, -298
553, -201
95, 139
-200, 630
-39, 144
-177, -108
-277, 376
-31, 868
-119, 511
-146, -25
154, -258
-82, -191
-264, -161
106, -148
288, -18
226, -68
268, -60
422, -195
231, -237
-146, -352
-269, -237
-352, 168
-305, 392
-43, 384
-191, 208
-168, 108
-337, -78
-321, -175
-69, 127
166, -113
267, -159
-22, -73
-101, -22
-233, 9
-222, 7
-48, 63
244, -128
274, -182
-48, -91
-47, -258
119, -335
136, -106
360, 177
351, -35
129, 87
112, 77
-100, -127
-129, -176
-192, -152
112, 30
199, 89
180, 24
-130, 56
-266, 498
184, 515
-103, 59
-456, -215
-295, 101
-188, 447
-369, 361
-442, 1
-505, -453
-69, 100
-101, -325
-298, -626
232, 97
270, 417
-381, 498
-451, 135
8, -146
368, 48
331, 363
-45, -150
-360, -702
-168, -311
-52, 164
-41, -75
-82, -463
-247, -124
-319, 253
-239, 107
-52, 114
211, 390
412, 298
192, 228
-200, 281
-240, 76
-31, -32
147, 121
425, 221
524, 131
18, -81
-193, -74
-7, 44
33, 250
-211, 110
-4, -132
306, -168
161, -96
-64, 178
-121, 231
66, 128
34, 109
-10, 65
-31, 407
135, 668
81, 186
-47, -293
-40, -304
60, 134
-130, 366
-466, 191
-267, -161
-72, 1
-149, 179
-304, -41
-81, -286
356, -221
343, -269
138, -160
-264, 71
-388, -83
115, -258
430, -182
117, -168
-202, -33
-14, -201
12, -152
-198, 134
-92, -17
19, 29
-22, 161
-101, 208
45, 386
411, 306
131, -84
-399, -337
-169, -250
75, 204
20, 132
-91, 20
-284, 260
-354, 179
-127, 179
-83, 90
82, 14
289, 78
291, -140
-101, -171
-264, 327
229, 409
451, 12
-40, -244
-558, -546
-248, -125
28, 474
-18, 230
12, -488
134, -555
157, 69
69, 158
-152, -206
-402, -148
-10, -98
-29, -50
54, -134
367, -199
335, 107
413, 343
324, 166
108, 50
145, 23
-14, 76
-96, 36
-99, 172
-163, 320
-178, 266
-216, 144
18, 145
125, 110
7, 211
-98, 36
-20, 10
-31, 76
166, 151
261, 244
-108, 209
-246, -73
-9, -123
148, 203
-174, 448
-189, 386
402, 300
65, -41
5, -141
63, 117
-40, 36
-25, -49
195, 120
293, -179
288, -469
218, -278
104, 63
-74, 450
-113, 362
-265, 187
-202, 335
-197, 54
-234, -327
-178, -222
61, 454
318, 823
206, 128
